GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notesApi,com.mediscreen.notes.controller,NoteController,106,7,4,0,12,2,7,2,5,2
notesApi,com.mediscreen.notes.service,NoteServiceImpl,23,15,0,0,3,3,3,2,3,2
notesApi,com.mediscreen.notes,NotesApiApplication,5,3,0,0,2,1,1,1,1,1
notesApi,com.mediscreen.notes.config,SwaggerConfig,0,15,0,0,0,6,0,2,0,2
notesApi,com.mediscreen.notes.model,NoteMapperImpl,33,43,6,2,9,13,5,3,1,3
notesApi,com.mediscreen.notes.model,Note,9,3,0,0,4,1,1,1,1,1
notesApi,com.mediscreen.notes.model,NoteMapper,0,5,0,0,0,1,0,1,0,1
